ProductID,Category,UnitPrice,UnitsSold,SalesRevenue,ProfitMargin,StockLevel,ProductStatus,SeasonalDemand
P-7001,cosmetics,24.50,432,10584.00,35.2,156,Active,Medium
P-7002,skincare,45.75,654,29920.50,42.8,289,Active,High
P-7003,haircare,32.99,321,10389.79,38.5,432,Active,Low
P-7004,cosmetics,68.25,876,59787.00,45.6,78,Active,High
P-7005,skincare,18.99,210,3987.90,28.9,543,Active,Medium
P-7006,haircare,42.50,543,23077.50,36.7,321,Active,High
P-7007,cosmetics,35.75,765,27348.75,32.4,654,Active,Low
P-7008,skincare,89.99,432,38875.68,48.2,87,Active,High
P-7009,haircare,28.45,987,28080.15,34.1,765,Active,Medium
P-7010,cosmetics,52.25,321,16772.25,40.3,234,Active,Low
P-7011,skincare,38.75,654,25342.50,35.8,567,Active,High
P-7012,haircare,65.80,876,57640.80,42.5,123,Active,Medium
P-7013,cosmetics,22.99,210,4827.90,26.7,890,Active,Low
P-7014,skincare,55.50,543,30136.50,39.4,456,Active,High
P-7015,haircare,29.95,765,22911.75,33.2,678,Active,Medium
P-7016,cosmetics,74.99,432,32395.68,46.8,234,Active,High
P-7017,skincare,26.80,987,26451.60,30.5,789,Active,Low
P-7018,haircare,48.25,321,15488.25,37.9,543,Active,Medium
P-7019,cosmetics,41.75,654,27304.50,34.6,321,Active,High
P-7020,skincare,72.50,876,63510.00,44.7,156,Active,High
P-7021,haircare,19.99,210,4197.90,25.8,987,Active,Low
P-7022,cosmetics,59.95,543,32552.85,41.2,654,Active,Medium
P-7023,skincare,33.25,765,25436.25,32.1,432,Active,Low
P-7024,haircare,82.75,432,35748.00,47.3,210,Active,High
P-7025,cosmetics,31.50,987,31090.50,29.8,876,Active,Medium
P-7026,skincare,67.80,321,21763.80,43.5,543,Active,High
P-7027,haircare,36.45,654,23838.30,35.4,321,Active,Low
P-7028,cosmetics,46.99,876,41163.24,38.7,654,Active,Medium
P-7029,skincare,23.75,210,4987.50,27.6,789,Active,Low
P-7030,haircare,53.25,543,28914.75,40.1,432,Active,High
P-7031,cosmetics,39.80,765,30447.00,33.5,321,Active,Medium
P-7032,skincare,95.50,432,41256.00,49.2,123,Active,High
P-7033,haircare,25.99,987,25652.13,31.4,876,Active,Low
P-7034,cosmetics,63.75,321,20463.75,42.8,543,Active,High
P-7035,skincare,44.25,654,28939.50,36.9,432,Active,Medium
P-7036,haircare,71.80,876,62896.80,45.6,210,Active,High
P-7037,cosmetics,27.45,210,5764.50,25.3,987,Active,Low
P-7038,skincare,58.99,543,32031.57,41.7,654,Active,Medium
P-7039,haircare,34.25,765,26201.25,34.8,321,Active,Low
P-7040,cosmetics,79.95,432,34538.40,47.5,156,Active,High
P-7041,skincare,30.80,987,30399.60,29.6,789,Active,Medium
P-7042,haircare,47.50,321,15247.50,38.2,543,Active,High
P-7043,cosmetics,43.25,654,28285.50,35.9,432,Active,Low
P-7044,skincare,78.75,876,68985.00,46.3,210,Active,High
P-7045,haircare,21.99,210,4617.90,24.7,876,Active,Low
P-7046,cosmetics,56.80,543,30842.40,41.5,654,Active,Medium
P-7047,skincare,37.45,765,28649.25,34.2,321,Active,Low
P-7048,haircare,88.25,432,38124.00,48.7,123,Active,High
P-7049,cosmetics,34.99,987,34535.13,32.8,789,Active,Medium
P-7050,skincare,62.50,321,20062.50,42.1,543,Active,High
P-7051,haircare,40.75,654,26650.50,36.3,432,Active,Medium
P-7052,cosmetics,49.95,876,43756.20,39.8,321,Active,Low
P-7053,skincare,26.25,210,5512.50,28.4,987,Active,Low
P-7054,haircare,60.80,543,33014.40,41.9,654,Active,High
P-7055,cosmetics,37.80,765,28917.00,33.7,432,Active,Medium
P-7056,skincare,85.99,432,37147.68,47.8,156,Active,High
P-7057,haircare,29.45,987,29067.15,32.5,789,Active,Low
P-7058,cosmetics,66.50,321,21346.50,43.6,543,Active,High
P-7059,skincare,51.25,654,33517.50,40.7,432,Active,Medium
P-7060,haircare,75.80,876,66400.80,46.9,210,Active,High
